feature,rf_importance
years,0.00034225686627822963
download,0.0003414513997196205
team,0.0003403892103231091
forward,0.0003399370688384756
hours,0.00033986859730459956
quality,0.0003395827341938739
decided,0.00033916829231962927
bank account,0.0003366435146049681
eum python,0.00033578659064652895
best regards,0.00033543783406421045
software,0.0003346863620756316
deposit,0.00033341221624118983
ac nz,0.00033336837611014857
ma,0.00033308903613965156
credit,0.00033238152905742317
day,0.00033219788488398586
intended,0.0003310693574405301
project,0.00033017736355294667
windows,0.0003291642997655712
american,0.00032717988240171515
shall,0.0003268896312180673
management,0.0003258489244515548
site details,0.0003256288791146128
products,0.0003239402771567315
ensure,0.00032393622926301996
15,0.0003231964610512642
months,0.00032232558651102685
sir,0.0003219495445800374
results,0.0003212514455545961
dev mailing,0.0003159641865049855
ct,0.0003155102907925433
technology,0.0003148471670768709
accounts,0.0003142721089097106
website,0.000313939931404501
password,0.000313747548050812
topics,0.0003126164564239307
php,0.00031239745796959097
death,0.00031205392536776957
possible,0.0003120211949232511
gain,0.00031183082002311276
messages,0.00031175632177239736
copyright,0.0003102193144074337
edu,0.00030969664551191154
today,0.00030820224210285197
let,0.0003077775766603461
card,0.0003072782866982871
type,0.0003059239037843891
video world,0.00030548234348587444
currently,0.0003038554702615964
home,0.00030163128314015933
custom,0.0003015681488387735
store,0.00029794082114628656
000 00,0.00029674489587576777
release,0.00029655018952355334
alert,0.00029612375864683944
start,0.0002927267115231355
foreigner,0.00029078900130750284
40,0.0002907163014327869
com aug,0.0002903782559646004
person,0.00028995411534317244
germany,0.0002896857724882077
thousand,0.0002859634553097056
cost,0.0002858492968335801
really,0.00028250450396377185
office,0.00028159026526434534
looking,0.00028081601338597357
kind,0.00027852124347309043
required,0.00027834284747996413
provide,0.00027730169464102106
2008 02,0.00027594239676674445
care,0.00027586023413013727
policy,0.000275746891211053
result cnn,0.00027399793083469876
october,0.00027359077388242764
check,0.00027204988914855704
watches replica,0.00027017516495554753
right,0.0002665918096449203
buildbot,0.00026651554491329693
documents,0.00026562585756830583
member,0.0002654328264173671
process,0.0002653107286390651
hear,0.0002653103176547871
come,0.0002652854006409775
ll,0.0002651197414829628
share,0.00026301636129314105
nov,0.00026293656860139
ok,0.00026264915156291803
works,0.00026160374054271294
wa,0.00026147147913062937
google,0.0002603799623613555
days,0.00025966645103740765
march,0.0002587497900038255
log,0.00025849399303707737
read,0.00025826820716282577
email address,0.0002568041187949731
text,0.00025420285079071596
17,0.00025373582649717094
com clik,0.00025224641674358763
europe,0.00025171821187379553
open,0.00024971213273883053
https,0.00024927384375950237
old,0.0002491158670778353
offers,0.0002487819242039451
support,0.00024782482550244136
son,0.00024607573060177694
write,0.00024561742441886627
invest,0.0002453192708387676
newsletter,0.00024297778636377134
is_weekend,0.00023988742890533788
including,0.00023965577245962737
python 3000,0.00023864401045052498
ca,0.0002377203242129448
discovered,0.00023747120441519924
upgrade,0.0002362248605346822
dr,0.0002350470189675736
enable,0.000234617881973033
world europe,0.00023433072787028457
learn,0.00023393744495484278
alert custom,0.00023365011927267023
purchase,0.000232661011412456
access,0.0002318550886608482
year,0.00023088632620120586
box,0.00023084691815951992
replica classics,0.00022985293754411402
content,0.00022950267176712728
believe,0.00022939175837770502
domain,0.0002288202098603478
reason,0.00022719489609057962
matter,0.00022621105640199636
risk,0.00022563416770188453
given,0.00022533548212714716
delivered,0.0002248072837104929
god,0.00022360630883224518
hash,0.00022355874149121365
trust,0.00022328223018853847
fact,0.000222057258498188
trying,0.00022198499303883247
letter,0.00022036838913048408
nigeria,0.00022019119859380116
easy,0.000219894197756852
questions,0.00021969979517288417
privacy guidelines,0.00021965596742946496
seek,0.0002195580146615008
necessary,0.00021827150313983833
bn,0.00021785088617792584
better,0.00021753042207786567
cnn trusted,0.0002171914254217582
search,0.00021714538046830678
product,0.00021581160667676357
pc,0.0002151684862613916
doing,0.00021499632936521792
allow,0.00021463557408455064
24,0.00021455620949704056
researchers,0.00021411860959187046
friends,0.00021361879604932146
video partners,0.00021160958215979192
department,0.0002109301071886635
gmail,0.00021054482224271032
device,0.00021028424846973644
linkto,0.0002098185292450654
having,0.00020930749796596352
58 pm,0.0002088833161930907
politics 08,0.00020810206044932737
things,0.00020667496288614403
united states,0.00020659521883161145
president,0.00020621694351321656
60,0.00020580736154145082
mrs,0.00020525373120346217
sender,0.00020520945914809214
high,0.00020429434834913946
target,0.00020342073082885837
form,0.00019981118936458734
states dollars,0.00019971691562575196
live,0.0001995522729790655
25,0.0001993300239093316
privacy html,0.00019858838695811884
hard,0.0001984629057950375
came,0.00019845812416517994
states,0.00019812762981326928
